ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	21.742s
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.952s
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	1.704s
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	1.365s
ok  	github.com/relux-works/agent-session-manager/internal/config	2.159s
ok  	github.com/relux-works/agent-session-manager/internal/localstore	14.190s
ok  	github.com/relux-works/agent-session-manager/internal/scalar	2.441s
ok  	github.com/relux-works/agent-session-manager/internal/specdoc	1.843s
ok  	github.com/relux-works/agent-session-manager/internal/specpin	3.153s
ok  	github.com/relux-works/agent-session-manager/internal/traceability	4.434s
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	26.556s
go test ./... -count=1  47.84s user 12.27s system 215% cpu 27.833 total
