ok  	github.com/relux-works/agent-session-manager/internal/axerror	0.733s
ok  	github.com/relux-works/agent-session-manager/internal/axpane	60.043s
ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	28.212s
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.492s
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	1.171s
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	0.379s
ok  	github.com/relux-works/agent-session-manager/internal/cigate	2.657s
ok  	github.com/relux-works/agent-session-manager/internal/cliresult	1.193s
ok  	github.com/relux-works/agent-session-manager/internal/clonebundle	4.363s
ok  	github.com/relux-works/agent-session-manager/internal/clonefidelity	3.885s
ok  	github.com/relux-works/agent-session-manager/internal/cloneplan	52.296s
ok  	github.com/relux-works/agent-session-manager/internal/cloneproject	151.157s
ok  	github.com/relux-works/agent-session-manager/internal/clonesnap	107.126s
ok  	github.com/relux-works/agent-session-manager/internal/config	187.240s
ok  	github.com/relux-works/agent-session-manager/internal/crashgate	111.771s
ok  	github.com/relux-works/agent-session-manager/internal/dirnode	0.724s
ok  	github.com/relux-works/agent-session-manager/internal/environ	0.482s
ok  	github.com/relux-works/agent-session-manager/internal/fencing	13.529s
ok  	github.com/relux-works/agent-session-manager/internal/hostchannel	121.223s
ok  	github.com/relux-works/agent-session-manager/internal/hosttrust	103.765s
ok  	github.com/relux-works/agent-session-manager/internal/invcore	0.701s
ok  	github.com/relux-works/agent-session-manager/internal/localstore	147.522s
ok  	github.com/relux-works/agent-session-manager/internal/matjournal	123.751s
ok  	github.com/relux-works/agent-session-manager/internal/meshneg	0.365s
ok  	github.com/relux-works/agent-session-manager/internal/peeridentity	1.214s
ok  	github.com/relux-works/agent-session-manager/internal/provhost	12.664s
ok  	github.com/relux-works/agent-session-manager/internal/provider	4.534s
ok  	github.com/relux-works/agent-session-manager/internal/resumesmoke	234.005s
ok  	github.com/relux-works/agent-session-manager/internal/rpcwire	0.896s
ok  	github.com/relux-works/agent-session-manager/internal/scalar	0.460s
ok  	github.com/relux-works/agent-session-manager/internal/secconftest	1.713s
ok  	github.com/relux-works/agent-session-manager/internal/secprim	0.986s
ok  	github.com/relux-works/agent-session-manager/internal/sessadapter	0.908s
ok  	github.com/relux-works/agent-session-manager/internal/sessckpt	23.392s
ok  	github.com/relux-works/agent-session-manager/internal/sessprofile	54.542s
ok  	github.com/relux-works/agent-session-manager/internal/sessquery	311.389s
ok  	github.com/relux-works/agent-session-manager/internal/sessrepo	169.659s
ok  	github.com/relux-works/agent-session-manager/internal/sessstate	195.451s
ok  	github.com/relux-works/agent-session-manager/internal/specdoc	0.477s
ok  	github.com/relux-works/agent-session-manager/internal/specpin	0.479s
ok  	github.com/relux-works/agent-session-manager/internal/sshtransport	5.290s
ok  	github.com/relux-works/agent-session-manager/internal/termbind	7.468s
ok  	github.com/relux-works/agent-session-manager/internal/terminalbackend	1.538s
ok  	github.com/relux-works/agent-session-manager/internal/terminstance	25.436s
ok  	github.com/relux-works/agent-session-manager/internal/traceability	5.299s
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	204.324s
