ok  	github.com/relux-works/agent-session-manager/internal/axerror	0.459s
ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	30.731s
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.878s
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	0.668s
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	1.769s
ok  	github.com/relux-works/agent-session-manager/internal/cliresult	1.794s
ok  	github.com/relux-works/agent-session-manager/internal/config	3.574s
ok  	github.com/relux-works/agent-session-manager/internal/localstore	15.383s
ok  	github.com/relux-works/agent-session-manager/internal/scalar	2.929s
ok  	github.com/relux-works/agent-session-manager/internal/specdoc	2.470s
ok  	github.com/relux-works/agent-session-manager/internal/specpin	3.712s
ok  	github.com/relux-works/agent-session-manager/internal/terminalbackend	3.910s
ok  	github.com/relux-works/agent-session-manager/internal/traceability	5.465s
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	33.309s
