mutant battery TASK-260830-2z3se0 rework
M01-mode-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M02-entry-status-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M03-evidence-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M04-direction-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M05-registry-status-widen: KILLED test=TestDoctorResultRules compiled=True red=True
M06-role-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M07-kind-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M08-contextfree-widen: KILLED test=TestValueVocabulariesMatchSpec compiled=True red=True
M09-chain-reintro: KILLED test=TestNoUnregisteredInlineVocabularies compiled=True red=True
M10-namedtype-control: CONTROL-GREEN test=TestClosedVocabularyTablesAreRegistered compiled=True red=False
M14-second-hi-plus1: KILLED test=TestSurrogatePairSweep compiled=True red=True
M15-second-lo-minus1: KILLED test=TestSurrogatePairSweep compiled=True red=True
M16-doctor-required-trunc: KILLED test=TestCheckDoctorHealthyDrivesEveryRequiredCapability compiled=True red=True
M17-nullability-archive-trunc: KILLED test=TestCheckValidateNullabilityDrivesEveryTarget compiled=True red=True
M18-nullability-staged-trunc: KILLED test=TestCheckValidateNullabilityDrivesEveryTarget compiled=True red=True
M19-applicable-drop: KILLED test=TestCheckValidateResultDrivesEveryApplicableCheck compiled=True red=True
M20-nullablebool-drop: KILLED test=TestCheckValidateResultDrivesEveryApplicableCheck compiled=True red=True
M21-echo-length-only: KILLED test=TestCheckContextEcho compiled=True red=True
M22-frame-plus1: KILLED test=TestFrameBoundEdges compiled=True red=True
M23-frame-gte: KILLED test=TestFrameBoundEdges compiled=True red=True
M24-probe-provider-zeroguard: KILLED test=TestZeroValueHostFactsRefuse compiled=True red=True
M25-probe-env-zeroguard: KILLED test=TestZeroValueHostFactsRefuse compiled=True red=True
M26-probereq-kind-zeroguard: KILLED test=TestZeroValueHostFactsRefuse compiled=True red=True
M27-validate-mode-zeroguard: KILLED test=TestValidateResultRules compiled=True red=True
M11-pkg-var-alias: KILLED test=TestDerivedRefusalArmsAreAllWitnessed compiled=True red=True
M12-local-var-alias: KILLED test=TestDerivedRefusalArmsAreAllWitnessed compiled=True red=True
M13-direct-arm-control: KILLED test=TestDerivedRefusalArmsAreAllWitnessed compiled=True red=True
battery: 26 killed + 1 controls-green / 27 measured
