denominator: 31 refuse sites + 59 boolean-false exits + 11 frame-fault exits = 101
baseline exit: 0
N1_lowsurrogate        KILLED        expect=kill         suites=behavioral
N2_bytelength          KILLED        expect=kill         suites=behavioral,census
N3_tuplextensions      KILLED        expect=kill         suites=behavioral
N4_caplength           KILLED        expect=kill         suites=behavioral
N6_envunderscore       KILLED        expect=kill         suites=census
T1_rawscan             KILLED        expect=kill         suites=behavioral
M1_uint53floor         KILLED        expect=kill         suites=behavioral
M2_uint53magnitude     KILLED        expect=kill         suites=behavioral
M4_uint53trailing      KILLED        expect=kill         suites=behavioral
M5_stringsdup          KILLED        expect=kill         suites=behavioral
M6_stringsorder        KILLED        expect=kill         suites=behavioral
M7_digestbridge        KILLED        expect=kill         suites=behavioral
M8_timestampbridge     KILLED        expect=kill         suites=behavioral
M9_tuplearch           KILLED        expect=kill         suites=behavioral
M10_tuplesemver        KILLED        expect=kill         suites=behavioral,census
M11_reasonavailable    KILLED        expect=kill         suites=behavioral
M12_reasonconditional  KILLED        expect=kill         suites=behavioral
M13_capabsent          KILLED        expect=kill         suites=behavioral
M14a_evidencedup       KILLED        expect=kill         suites=behavioral
M14b_evidenceorder     KILLED        expect=kill         suites=behavioral
M15_framedup           KILLED        expect=kill         suites=behavioral,census
M16_frametrailing      KILLED        expect=kill         suites=behavioral
M17_frameutf8          KILLED        expect=kill         suites=behavioral
M18_highmispair        KILLED        expect=kill         suites=behavioral
M19_extensions         KILLED        expect=kill         suites=behavioral
M20_tupleunknown       KILLED        expect=kill         suites=behavioral
M21_obsschema          KILLED        expect=kill         suites=behavioral
R_missingfirst         KILLED        expect=kill         suites=behavioral
R_laddernondigit       KILLED        expect=kill         suites=behavioral
R_strfloor             KILLED        expect=kill         suites=behavioral
R_rawstringerr         KILLED        expect=kill         suites=behavioral
R_decodearraytrailing  KILLED        expect=kill         suites=behavioral
R_digestnonstr         SURVIVED      expect=survive      suites=
S1_sesstrailingdel     KILLED        expect=kill         suites=behavioral
S2_sesstrailingnarrow  KILLED        expect=kill         suites=behavioral
S3_dirtrailingdel      KILLED        expect=kill         suites=behavioral
S4_dirtrailingnarrow   KILLED        expect=kill         suites=behavioral
S5_provtrailingdel     KILLED        expect=kill         suites=behavioral
S6_provtrailingnarrow  KILLED        expect=kill         suites=behavioral
S7_sessboundforward    KILLED        expect=kill         suites=behavioral
S8_dirboundforward     KILLED        expect=kill         suites=behavioral
S9_sesssemversever     KILLED        expect=kill         suites=behavioral,census
S10_dirextsever        KILLED        expect=kill         suites=behavioral
C1_scalarlows          KILLED        expect=kill         suites=behavioral
C2_scalarmispair       KILLED        expect=kill         suites=behavioral
C3_scalarevenrun       KILLED        expect=kill         suites=behavioral
G1_revivedgrammar      KILLED        expect=kill         suites=census
G2_freshmeasure        KILLED        expect=kill         suites=census
G3_freshdecoder        KILLED        expect=kill         suites=census
A1_refusealias         KILLED        expect=kill         suites=audit
M7n_digestnarrow       KILLED        expect=kill         suites=behavioral
M8n_timestampnarrow    KILLED        expect=kill         suites=behavioral
M13n_capabsentnarrow   KILLED        expect=kill         suites=behavioral
M15n_framedupnarrow    KILLED        expect=kill         suites=behavioral
M17n_frameutf8narrow   KILLED        expect=kill         suites=behavioral
D1_decoycheckdigest    KILLED        expect=kill         suites=behavioral,census
D2_decoywrapperfault   KILLED        expect=kill         suites=behavioral,census
E_dupnarrow_body       KILLED        expect=kill         suites=behavioral
E_dupnarrow_ok         KILLED        expect=kill         suites=behavioral
E_dupnarrow_protocol_version KILLED        expect=kill         suites=behavioral
E_dupnarrow_request_id KILLED        expect=kill         suites=behavioral
E_dupnarrow_error      KILLED        expect=kill         suites=behavioral
E_dupnarrow_capabilities KILLED        expect=kill         suites=behavioral
E_dupnarrow_provider_id KILLED        expect=kill         suites=behavioral
E_dupnarrow_cursor     KILLED        expect=kill         suites=behavioral
P_dupnarrow_body       KILLED        expect=kill         suites=behavioral
P_dupnarrow_ok         KILLED        expect=kill         suites=behavioral
P_dupnarrow_protocol_version KILLED        expect=kill         suites=behavioral
P_dupnarrow_error      KILLED        expect=kill         suites=behavioral
P_dupnarrow_capabilities KILLED        expect=kill         suites=behavioral
P_dupnarrow_provider_id KILLED        expect=kill         suites=behavioral
H1_ambiguous           NOT_APPLIED   expect=not_applied  suites=
H2_arity               COMPILE_FAIL  expect=compile_fail suites=
killed/applied: 70/71
SURVIVED: 1 ['R_digestnonstr']
KILLED_OTHER: 0 []
NOT_APPLIED: 0 []
COMPILE_FAIL: 0 []
