ok  	github.com/relux-works/agent-session-manager/internal/axerror	0.380s
ok  	github.com/relux-works/agent-session-manager/internal/axpane	32.132s
ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	25.276s
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.253s
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	0.399s
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	1.821s
ok  	github.com/relux-works/agent-session-manager/internal/cigate	1.754s
ok  	github.com/relux-works/agent-session-manager/internal/cliresult	0.609s
ok  	github.com/relux-works/agent-session-manager/internal/clonebundle	1.186s
ok  	github.com/relux-works/agent-session-manager/internal/clonefidelity	4.607s
ok  	github.com/relux-works/agent-session-manager/internal/cloneplan	51.558s
ok  	github.com/relux-works/agent-session-manager/internal/cloneplanning	7.492s
ok  	github.com/relux-works/agent-session-manager/internal/cloneproject	90.654s
ok  	github.com/relux-works/agent-session-manager/internal/clonereadback	5.253s
ok  	github.com/relux-works/agent-session-manager/internal/clonesnap	59.307s
ok  	github.com/relux-works/agent-session-manager/internal/config	101.298s
ok  	github.com/relux-works/agent-session-manager/internal/crashgate	61.573s
ok  	github.com/relux-works/agent-session-manager/internal/dirnode	1.670s
ok  	github.com/relux-works/agent-session-manager/internal/environ	1.455s
ok  	github.com/relux-works/agent-session-manager/internal/fencing	4.039s
ok  	github.com/relux-works/agent-session-manager/internal/hostchannel	69.161s
ok  	github.com/relux-works/agent-session-manager/internal/hosttrust	57.542s
ok  	github.com/relux-works/agent-session-manager/internal/invcore	0.437s
ok  	github.com/relux-works/agent-session-manager/internal/localstore	84.032s
ok  	github.com/relux-works/agent-session-manager/internal/matjournal	71.277s
ok  	github.com/relux-works/agent-session-manager/internal/meshneg	0.565s
ok  	github.com/relux-works/agent-session-manager/internal/peeridentity	0.406s
ok  	github.com/relux-works/agent-session-manager/internal/provhost	9.832s
ok  	github.com/relux-works/agent-session-manager/internal/provider	0.896s
ok  	github.com/relux-works/agent-session-manager/internal/resumesmoke	118.754s
ok  	github.com/relux-works/agent-session-manager/internal/rpcwire	0.804s
ok  	github.com/relux-works/agent-session-manager/internal/scalar	0.333s
ok  	github.com/relux-works/agent-session-manager/internal/secconftest	0.429s
ok  	github.com/relux-works/agent-session-manager/internal/secprim	0.736s
ok  	github.com/relux-works/agent-session-manager/internal/sessadapter	0.691s
ok  	github.com/relux-works/agent-session-manager/internal/sessckpt	21.380s
ok  	github.com/relux-works/agent-session-manager/internal/sessprofile	33.937s
ok  	github.com/relux-works/agent-session-manager/internal/sessquery	174.033s
ok  	github.com/relux-works/agent-session-manager/internal/sessrepo	86.295s
ok  	github.com/relux-works/agent-session-manager/internal/sessstate	101.521s
ok  	github.com/relux-works/agent-session-manager/internal/specdoc	0.439s
ok  	github.com/relux-works/agent-session-manager/internal/specpin	0.467s
ok  	github.com/relux-works/agent-session-manager/internal/sshtransport	5.324s
ok  	github.com/relux-works/agent-session-manager/internal/termbind	5.066s
ok  	github.com/relux-works/agent-session-manager/internal/terminalbackend	0.879s
ok  	github.com/relux-works/agent-session-manager/internal/terminstance	16.822s
ok  	github.com/relux-works/agent-session-manager/internal/tmuxserver	121.176s
ok  	github.com/relux-works/agent-session-manager/internal/traceability	4.965s
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	100.552s
